x,y,Initial_Distribution,Climate_Suitability
-123.4583333,60.04166667,0,28
-123.375,60.04166667,0,29
-123.2916667,60.04166667,0,30
-123.2083333,60.04166667,0,29
-123.125,60.04166667,0,29
-123.0416667,60.04166667,0,29
-122.9583333,60.04166667,0,29
-122.875,60.04166667,0,31
-122.7916667,60.04166667,0,32
-122.7083333,60.04166667,0,34
-122.625,60.04166667,0,34
-122.5416667,60.04166667,0,34
-122.4583333,60.04166667,0,35
-122.375,60.04166667,0,36
-122.2916667,60.04166667,0,36
-122.2083333,60.04166667,0,37
-122.125,60.04166667,0,39
-122.0416667,60.04166667,0,37
-121.9583333,60.04166667,0,38
-121.875,60.04166667,0,39
-121.7916667,60.04166667,0,44
-121.7083333,60.04166667,0,43
-121.625,60.04166667,0,42
-121.5416667,60.04166667,0,42
-121.4583333,60.04166667,0,43
-121.375,60.04166667,0,42
-121.2916667,60.04166667,0,43
-121.2083333,60.04166667,0,44
-121.125,60.04166667,0,44
-121.0416667,60.04166667,0,44
-120.9583333,60.04166667,0,46
-120.875,60.04166667,0,46
-120.7916667,60.04166667,0,45
-120.7083333,60.04166667,0,44
-120.625,60.04166667,0,46
-120.5416667,60.04166667,0,45
-120.4583333,60.04166667,0,42
-120.375,60.04166667,0,42
-120.2916667,60.04166667,0,42
-120.2083333,60.04166667,0,42
-120.125,60.04166667,0,43
-120.0416667,60.04166667,0,41
-119.9583333,60.04166667,0,40
-119.875,60.04166667,0,40
-119.7916667,60.04166667,0,42
-119.7083333,60.04166667,0,40
-119.625,60.04166667,0,39
-119.5416667,60.04166667,0,42
-119.4583333,60.04166667,0,39
-119.375,60.04166667,0,38
-119.2916667,60.04166667,0,38
-119.2083333,60.04166667,0,35
-119.125,60.04166667,0,36
-119.0416667,60.04166667,0,37
-118.9583333,60.04166667,0,38
-118.875,60.04166667,0,40
-118.7916667,60.04166667,0,37
-118.7083333,60.04166667,0,38
-118.625,60.04166667,0,35
-118.5416667,60.04166667,0,34
-118.4583333,60.04166667,0,33
-118.375,60.04166667,0,32
-118.2916667,60.04166667,0,32
-118.2083333,60.04166667,0,31
-118.125,60.04166667,0,30
-118.0416667,60.04166667,0,32
-117.9583333,60.04166667,0,33
-117.875,60.04166667,0,35
-117.7916667,60.04166667,0,34
-117.7083333,60.04166667,0,33
-117.625,60.04166667,0,32
-117.5416667,60.04166667,0,32
-117.4583333,60.04166667,0,32
-117.375,60.04166667,0,31
-117.2916667,60.04166667,0,31
-117.2083333,60.04166667,0,26
-117.125,60.04166667,0,23
-117.0416667,60.04166667,0,24
-116.9583333,60.04166667,0,27
-116.875,60.04166667,0,26
-116.7916667,60.04166667,0,26
-116.7083333,60.04166667,0,26
-116.625,60.04166667,0,30
-116.5416667,60.04166667,0,29
-116.4583333,60.04166667,0,29
-116.375,60.04166667,0,29
-116.2916667,60.04166667,0,29
-116.2083333,60.04166667,0,28
-116.125,60.04166667,0,28
-116.0416667,60.04166667,0,26
-115.9583333,60.04166667,0,24
-115.875,60.04166667,0,27
-115.7916667,60.04166667,0,28
-115.7083333,60.04166667,0,28
-115.625,60.04166667,0,28
-115.5416667,60.04166667,0,27
-115.4583333,60.04166667,0,28
-115.375,60.04166667,0,28
-115.2916667,60.04166667,0,31
-115.2083333,60.04166667,0,27
-115.125,60.04166667,0,27
-115.0416667,60.04166667,0,28
-114.9583333,60.04166667,0,30
-114.875,60.04166667,0,28
-114.7916667,60.04166667,0,28
